statinfo,unit,currency\time	2019Q3 	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 	2000Q4 	2000Q3 	2000Q2 	2000Q1 	1999Q4 	1999Q3 	1999Q2 	1999Q1 	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 	1994Q4 	1994Q3 	1994Q2 	1994Q1 	1993Q4 	1993Q3 	1993Q2 	1993Q1 	1992Q4 	1992Q3 	1992Q2 	1992Q1 	1991Q4 	1991Q3 	1991Q2 	1991Q1 	1990Q4 	1990Q3 	1990Q2 	1990Q1 	1989Q4 	1989Q3 	1989Q2 	1989Q1 	1988Q4 	1988Q3 	1988Q2 	1988Q1 	1987Q4 	1987Q3 	1987Q2 	1987Q1 	1986Q4 	1986Q3 	1986Q2 	1986Q1 	1985Q4 	1985Q3 	1985Q2 	1985Q1 	1984Q4 	1984Q3 	1984Q2 	1984Q1 	1983Q4 	1983Q3 	1983Q2 	1983Q1 	1982Q4 	1982Q3 	1982Q2 	1982Q1 	1981Q4 	1981Q3 	1981Q2 	1981Q1 	1980Q4 	1980Q3 	1980Q2 	1980Q1 	1979Q4 	1979Q3 	1979Q2 	1979Q1 	1978Q4 	1978Q3 	1978Q2 	1978Q1 	1977Q4 	1977Q3 	1977Q2 	1977Q1 	1976Q4 	1976Q3 	1976Q2 	1976Q1 	1975Q4 	1975Q3 	1975Q2 	1975Q1 	1974Q4 	1974Q3 	1974Q2 	1974Q1 	1973Q4 	1973Q3 	1973Q2 	1973Q1 	1972Q4 	1972Q3 	1972Q2 	1972Q1 	1971Q4 	1971Q3 	1971Q2 	1971Q1 
AVG,NAC,ALL	121.61 	123.11 	124.65 	124.43 	126.00 	127.40 	132.52 	133.47 	132.88 	134.41 	135.85 	136.10 	136.81 	138.25 	138.30 	138.45 	139.65 	140.63 	140.23 	139.74 	139.73 	140.04 	140.38 	140.39 	140.28 	140.71 	139.67 	139.72 	137.90 	139.31 	139.23 	140.03 	140.09 	141.75 	139.46 	138.67 	136.47 	137.24 	138.76 	137.26 	131.54 	131.22 	128.21 	123.20 	122.12 	122.26 	123.63 	121.69 	122.72 	124.79 	125.30 	123.64 	122.71 	122.97 	123.01 	122.72 	122.59 	124.78 	126.66 	126.56 	124.76 	126.87 	132.50 	134.90 	135.21 	139.77 	140.13 	137.08 	136.29 	132.33 	123.74 	124.87 	128.63 	128.34 	132.04 	128.70 	130.46 	134.04 	137.11 	139.28 	141.10 	149.29 	158.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,ARS	55.6708 	49.4187 	44.2343 	42.3944 	36.8967 	27.8824 	24.1954 	20.6165 	20.2903 	17.3559 	16.6978 	16.6819 	16.6780 	16.0536 	15.9282 	11.0176 	10.2823 	9.9031 	9.7771 	10.6336 	10.9828 	11.0422 	10.4057 	8.2261 	7.3842 	6.8398 	6.6165 	6.2169 	5.7569 	5.6878 	5.6900 	5.7345 	5.8792 	5.8711 	5.4892 	5.3875 	5.0871 	4.9544 	5.3087 	5.6392 	5.4756 	5.0842 	4.6176 	4.3814 	4.5803 	4.8798 	4.7219 	4.5573 	4.3097 	4.1544 	4.0583 	3.9660 	3.9337 	3.8615 	3.6949 	3.5466 	3.5196 	3.6514 	3.8498 	3.8491 	3.6598 	3.5047 	3.6465 	3.4440 	3.2386 	3.2443 	3.4179 	3.5894 	3.5828 	3.0704 	1.8586 	0.8952 	0.8899 	0.8723 	0.9230 	0.8679 	0.9050 	0.9329 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,AUD	1.6216 	1.6063 	1.5944 	1.5902 	1.5904 	1.5744 	1.5632 	1.5319 	1.4880 	1.4687 	1.4056 	1.4385 	1.4717 	1.5150 	1.5293 	1.5205 	1.5331 	1.4208 	1.4313 	1.4596 	1.4326 	1.4699 	1.5275 	1.4662 	1.4465 	1.3203 	1.2714 	1.2484 	1.2035 	1.2699 	1.2425 	1.3316 	1.3459 	1.3550 	1.3614 	1.3747 	1.4289 	1.4403 	1.5293 	1.6250 	1.7169 	1.7917 	1.9648 	1.9606 	1.6955 	1.6559 	1.6533 	1.6279 	1.6229 	1.6214 	1.6670 	1.6740 	1.6831 	1.6838 	1.6274 	1.5983 	1.6054 	1.6389 	1.6878 	1.7132 	1.7226 	1.6907 	1.6337 	1.6622 	1.7089 	1.7742 	1.8095 	1.7913 	1.7965 	1.6662 	1.6923 	1.7508 	1.7341 	1.7013 	1.7405 	1.6324 	1.5761 	1.5848 	1.5636 	1.6126 	1.6131 	1.6180 	1.7699 	1.8871 	1.8673 	1.7540 	1.6298 	1.6213 	1.4864 	1.4874 	1.5162 	1.5872 	1.6160 	1.5844 	1.7037 	1.7605 	1.7724 	1.8293 	1.7035 	1.6423 	1.6604 	1.6042 	1.5900 	1.7099 	1.7201 	1.7378 	1.7296 	1.8151 	1.8965 	1.6781 	1.6778 	1.6006 	1.5048 	1.5408 	1.7233 	1.7474 	1.6045 	1.5921 	1.5750 	1.4440 	1.4113 	1.3845 	1.3306 	1.3930 	1.3929 	1.5623 	1.7137 	1.7262 	1.5798 	1.6083 	1.6738 	1.6039 	1.6302 	1.3469 	1.3143 	1.2411 	1.1224 	1.0874 	0.9134 	0.8658 	0.9169 	0.9126 	0.8936 	0.9268 	0.9773 	1.0416 	1.0068 	0.9806 	0.9672 	0.9561 	0.9545 	0.9542 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,BAM	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	1.95583 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,BGN	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9559 	1.9559 	1.9559 	1.9493 	1.9517 	1.9494 	1.9466 	1.9467 	1.9535 	1.9493 	1.9471 	1.9504 	1.9503 	1.9467 	1.9468 	1.9471 	1.9522 	1.9488 	1.9482 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9572 	1.9690 	1.9738 	1.9771 	1.9722 	1.9738 	1.8005 	1.8122 	0.3984 	0.2500 	0.1421 	0.0942 	0.0911 	0.0883 	0.0876 	0.0844 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,BRL	4.4080 	4.4070 	4.2775 	4.3439 	4.5974 	4.2943 	3.9887 	3.8196 	3.7150 	3.5441 	3.3468 	3.5548 	3.6223 	3.9631 	4.3041 	4.2138 	3.9340 	3.3981 	3.2236 	3.1758 	3.0137 	3.0583 	3.2400 	3.0931 	3.0304 	2.6994 	2.6368 	2.6671 	2.5359 	2.5167 	2.3169 	2.4240 	2.3063 	2.2960 	2.2799 	2.3037 	2.2589 	2.2762 	2.4917 	2.5703 	2.6699 	2.8245 	3.0168 	3.0102 	2.4986 	2.5882 	2.6012 	2.5863 	2.6333 	2.6715 	2.7630 	2.7720 	2.7659 	2.7566 	2.6410 	2.6743 	2.8605 	3.1277 	3.5002 	3.6135 	3.6435 	3.6675 	3.6212 	3.4462 	3.2970 	3.3951 	3.7497 	3.6716 	3.0605 	2.2993 	2.0890 	2.3012 	2.2647 	1.9974 	1.8616 	1.6742 	1.6419 	1.6819 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,CAD	1.4681 	1.5036 	1.5101 	1.5059 	1.5208 	1.5375 	1.5540 	1.4955 	1.4728 	1.4822 	1.4101 	1.4396 	1.4556 	1.4554 	1.5149 	1.4618 	1.4540 	1.3587 	1.3957 	1.4190 	1.4422 	1.4950 	1.5107 	1.4275 	1.3760 	1.3368 	1.3313 	1.2850 	1.2447 	1.2948 	1.3128 	1.3788 	1.3841 	1.3932 	1.3484 	1.3757 	1.3416 	1.3054 	1.4383 	1.5604 	1.5704 	1.5883 	1.6223 	1.5916 	1.5650 	1.5769 	1.5022 	1.4201 	1.4374 	1.4791 	1.5357 	1.4669 	1.4283 	1.4108 	1.3894 	1.3956 	1.4668 	1.5677 	1.6083 	1.5835 	1.5998 	1.6374 	1.6482 	1.5659 	1.5533 	1.5889 	1.6203 	1.5687 	1.5361 	1.4275 	1.3978 	1.4157 	1.3743 	1.3450 	1.4099 	1.3249 	1.3412 	1.3815 	1.4338 	1.5283 	1.5585 	1.5572 	1.6958 	1.8145 	1.6905 	1.5921 	1.5538 	1.5810 	1.5129 	1.5849 	1.6008 	1.7039 	1.7461 	1.7118 	1.7626 	1.7852 	1.7792 	1.8254 	1.7916 	1.6959 	1.6829 	1.6080 	1.5094 	1.5104 	1.4994 	1.5331 	1.5011 	1.5993 	1.6642 	1.5192 	1.4852 	1.4232 	1.3459 	1.3646 	1.5502 	1.5868 	1.4950 	1.4318 	1.4254 	1.3182 	1.2747 	1.2821 	1.3422 	1.4117 	1.3579 	1.4955 	1.5633 	1.5916 	1.4921 	1.5323 	1.5047 	1.4376 	1.4030 	1.3272 	1.2961 	1.1760 	1.0669 	0.9941 	0.9255 	0.9649 	1.0094 	1.0660 	1.0441 	1.0448 	1.0607 	1.1216 	1.1630 	1.1493 	1.1885 	1.2464 	1.2527 	1.2982 	1.2511 	1.3359 	1.4712 	1.5869 	1.6478 	1.6262 	1.6422 	1.6503 	1.6205 	1.5430 	1.6052 	1.5810 	1.4654 	1.3916 	1.3768 	1.2931 	1.2229 	1.1873 	1.1537 	1.1059 	1.0768 	1.0829 	1.1441 	1.1962 	1.2404 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,CHF	1.0960 	1.1265 	1.1324 	1.1365 	1.1445 	1.1742 	1.1653 	1.1622 	1.1312 	1.0842 	1.0694 	1.0798 	1.0889 	1.0961 	1.0960 	1.0848 	1.0723 	1.0410 	1.0722 	1.2045 	1.2115 	1.2192 	1.2237 	1.2294 	1.2348 	1.2315 	1.2284 	1.2080 	1.2035 	1.2015 	1.2080 	1.2293 	1.1649 	1.2514 	1.2871 	1.3225 	1.3321 	1.4086 	1.4632 	1.5088 	1.5195 	1.5138 	1.4977 	1.5249 	1.6115 	1.6114 	1.6014 	1.6596 	1.6473 	1.6478 	1.6162 	1.5928 	1.5768 	1.5631 	1.5590 	1.5472 	1.5533 	1.5437 	1.5488 	1.5334 	1.5363 	1.5374 	1.5686 	1.5537 	1.5451 	1.5180 	1.4662 	1.4667 	1.4636 	1.4648 	1.4733 	1.4735 	1.5070 	1.5283 	1.5334 	1.5162 	1.5441 	1.5630 	1.6070 	1.6003 	1.6020 	1.5997 	1.5994 	1.6004 	1.6418 	1.6427 	1.6039 	1.6097 	1.6263 	1.6527 	1.6899 	1.6214 	1.5578 	1.5602 	1.5318 	1.5151 	1.5496 	1.5374 	1.5793 	1.6071 	1.6089 	1.6369 	1.6333 	1.6730 	1.6976 	1.7625 	1.7930 	1.7581 	1.8057 	1.8766 	1.8356 	1.8007 	1.7871 	1.7501 	1.7500 	1.7378 	1.7328 	1.7627 	1.8154 	1.8121 	1.7889 	1.8213 	1.7792 	1.7482 	1.7417 	1.7262 	1.6964 	1.6988 	1.7209 	1.7140 	1.7378 	1.7268 	1.7081 	1.7878 	1.8261 	1.8204 	1.8414 	1.8810 	1.8825 	1.8385 	1.8736 	1.8527 	1.8254 	1.8211 	1.8485 	1.8923 	1.9106 	1.9954 	2.0079 	1.9997 	1.9414 	1.9916 	2.1630 	2.2669 	2.3351 	2.3069 	2.3220 	2.3384 	2.3444 	2.2846 	2.2783 	2.2835 	2.2684 	2.1828 	2.1518 	2.3653 	2.3886 	2.5612 	2.7409 	2.8314 	2.8223 	2.7230 	2.7299 	2.7598 	2.9649 	3.1163 	3.2065 	3.2665 	3.2153 	3.3390 	3.5539 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,CNY	7.8000 	7.6721 	7.6635 	7.8953 	7.9151 	7.6017 	7.8154 	7.7887 	7.8340 	7.5597 	7.3353 	7.3691 	7.4431 	7.3788 	7.2101 	7.0003 	7.0083 	6.8572 	7.0231 	7.6824 	8.1734 	8.5438 	8.3576 	8.2903 	8.1111 	8.0376 	8.2209 	8.1036 	7.9410 	8.1071 	8.2692 	8.5682 	9.0653 	9.3509 	9.0028 	9.0405 	8.7388 	8.6717 	9.4417 	10.0905 	9.7702 	9.3107 	8.9066 	9.0155 	10.2969 	10.8687 	10.7268 	10.7699 	10.3834 	10.3476 	10.1688 	10.1339 	10.1506 	10.0815 	9.6793 	9.6057 	9.9250 	10.4232 	10.8536 	10.7423 	10.1195 	9.9675 	10.3440 	9.8412 	9.3096 	9.4129 	8.8824 	8.2717 	8.1425 	7.6051 	7.2556 	7.4152 	7.3688 	7.2218 	7.6415 	7.1869 	7.4927 	7.7241 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AVG,NAC,CZK	25.734 	25.686 	25.683 	25.864 	25.718 	25.599 	25.402 	25.650 	26.085 	26.535 	27.021 	27.029 	27.029 	27.040 	27.040 	27.057 	27.075 	27.379 	27.624 	27.630 	27.619 	27.446 	27.442 	26.658 	25.853 	25.831 	25.565 	25.167 	25.082 	25.269 	25.084 	25.276 	24.387 	24.324 	24.375 	24.789 	24.928 	25.591 	25.868 	25.923 	25.597 	26.679 	27.601 	25.344 	24.093 	24.830 	25.564 	26.826 	27.941 	28.272 	28.037 	28.044 	28.337 	28.378 	28.599 	29.304 	29.688 	30.129 	30.012 	31.125 	31.593 	32.022 	32.860 	32.096 	32.168 	31.470 	31.624 	30.857 	30.231 	30.400 	31.768 	33.168 	34.021 	34.288 	34.791 	34.896 	35.465 	36.279 	35.768 	36.342 	36.410 	37.585 	37.217 	34.880 	35.268 	36.521 	37.622 	37.752 	36.940 	35.589 	33.323 	34.185 	34.051 	34.721 	34.894 	34.803 	34.821 	34.702 	34.440 	34.557 	34.454 	33.968 	33.624 	33.624 	33.796 	34.711 	34.545 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
